SMS,HAM-SPAM
"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",Ham
"It‘s reassuring, in this crazy world.",Ham
"Yeah I am, so I'll leave maybe 7ish?",Ham
FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,Spam
Hi..i got the money da:),Ham
"Oh, my love, it's soooo good to hear from you. Omg I missed you so much today. I'm sorry your having problems with the provider but thank you for tming me",Ham
Oh sorry please its over,Ham
S but not able to sleep.,Ham
Thanx a lot 4 ur help!,Ham
Aiyah ok wat as long as got improve can already wat...,Ham
Oh:)as usual vijay film or its different?,Ham
I'm coming home 4 dinner.,Ham
Okie...,Ham
We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! ,Ham
Are u coming to the funeral home,Ham
"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",Ham
Im good! I have been thinking about you...,Ham
To day class is there are no class.,Ham
"Call me, i am senthil from hsbc.",Ham
Can ü all decide faster cos my sis going home liao..,Ham
Sindu got job in birla soft ..,Ham
I not busy juz dun wan 2 go so early.. Hee.. ,Ham
You could have seen me..i did't recognise you Face.:),Ham
Ok leave no need to ask,Ham
"""EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.""",Ham
"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",Ham
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,Ham
Heehee that was so funny tho,Ham
Lol where do u come up with these ideas?,Ham
Call FREEPHONE 0800 542 0578 now!,Spam
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,Spam
"Hello, my love ! How went your day ? Are you alright ? I think of you, my sweet and send a jolt to your heart to remind you ... I LOVE YOU! Can you hear it ? I screamed it across the sea for all the world to hear. Ahmad al Hallaq is loved ! and owned ! *possessive passionate kiss*",Ham
Surely result will offer:),Ham
Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.,Ham
Tell them the drug dealer's getting impatient,Ham
"Sorry, I'll call you  later. I am in meeting sir.",Ham
Hey mate. Spoke to the mag people. We‘re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. ,Ham
"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",Ham
Is there coming friday is leave for pongal?do you get any news from your work place.,Ham
What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,Ham
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",Spam
I want snow. It's just freezing and windy.,Ham
At home also.,Ham
Now only i reached home. . . I am very tired now. . I will come tomorro,Ham
"Just checked out, heading out to drop off my stuff now",Ham
Wat u doing there?,Ham
I had askd u a question some hours before. Its answer,Ham
Sorry completely forgot * will pop em round this week if your still here?,Ham
"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",Ham
Wat ü doing now?,Ham
"Alright omw, gotta change my order to a half8th",Ham
He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,Ham
No management puzzeles.,Ham
"Get the door, I'm here",Ham
Its a site to simulate the test. It just gives you very tough questions to test your readiness.,Ham
I just cooked a rather nice salmon a la you,Ham
You call him and tell now infront of them. Call him now.,Ham
I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,Ham
Kinda. First one gets in at twelve! Aah. Speak tomo,Ham
Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,Spam
Ard 530 like dat lor. We juz meet in mrt station then ü dun haf to come out.,Ham
Mm feeling sleepy. today itself i shall get that dear,Ham
I only haf msn. It's yijue@hotmail.com,Ham
It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,Ham
Wait  &lt;#&gt;  min..,Ham
"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",Spam
Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,Ham
I cant pick the phone right now. Pls send a message,Ham
"Alright, we're all set here, text the man",Ham
How are you. Wish you a great semester,Ham
Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,Ham
Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,Spam
Ü still attending da talks?,Ham
Sorry * was at the grocers.,Ham
I am going to sao mu today. Will be done only at 12 ,Ham
Rofl. Its true to its name,Ham
I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,Ham
"Sorry pa, i dont knw who ru pa?",Ham
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,Spam
Boo. How's things? I'm back at home and a little bored already :-(,Ham
"Yeah, we can probably swing by once my roommate finishes up with his girl",Ham
"Pls send me a comprehensive mail about who i'm paying, when and how much.",Ham
Why do you ask princess?,Ham
1 in cbe. 2 in chennai.,Ham
K I'll call you when I'm close,Ham
Aiyah then i wait lor. Then u entertain me. Hee...,Ham
"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",Ham
Should I have picked up a receipt or something earlier,Ham
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,Spam
"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",Ham
A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611,Spam
Ew are you one of them?,Ham
Wat time ü wan today?,Ham
Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs,Ham
This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,Ham
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,Ham
Check with nuerologist.,Ham
goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,Spam
Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,Ham
Are you available for soiree on June 3rd?,Ham
Can a not?,Ham
Hello madam how are you ?,Ham
Yeah get the unlimited,Ham
Howz pain.it will come down today.do as i said ystrday.ice and medicine.,Ham
I am not sure about night menu. . . I know only about noon menu,Ham
This pain couldn't have come at a worse time.,Ham
I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,Ham
He dint tell anything. He is angry on me that why you told to abi.,Ham
Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,Spam
I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,Ham
Well there's still a bit left if you guys want to tonight,Ham
"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",Ham
"What part of ""don't initiate"" don't you understand",Ham
Alright. I'm out--have a good night!,Ham
Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,Ham
"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea",Ham
"K, want us to come by now?",Ham
In fact when do you leave? I think addie goes back to school tues or wed,Ham
Well. You know what i mean. Texting,Ham
HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN,Ham
Huh so late... Fr dinner?,Ham
"Hey , is * rite u put »10 evey mnth is that all?",Ham
Do I? I thought I put it back in the box,Ham
Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,Ham
"'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-).",Ham
Carlos says we can pick up from him later so yeah we're set,Ham
U in town alone?,Ham
"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",Ham
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,Ham
Ok,Ham
But if she.s drinkin i'm ok.,Ham
Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412,Spam
Can you just come in for a sec? There's somebody here I want you to see,Ham
Ugh fuck it I'm resubbing to eve,Ham
Dude ive been seeing a lotta corvettes lately,Ham
"""Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx""",Ham
Its sunny in california. The weather's just cool,Ham
I.ll get there tomorrow and send it to you,Ham
The wine is flowing and i'm i have nevering..,Ham
Reason is if the team budget is available at last they buy the unsold players for at base rate..,Ham
Okie... Thanx...,Ham
I keep ten rs in my shelf:) buy two egg.,Ham
happened here while you were adventuring,Ham
Oh yeah! And my diet just flew out the window,Ham
Really do hope the work doesnt get stressful. Have a gr8 day.,Ham
I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.,Ham
Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,Ham
Are you plans with your family set in stone ?,Ham
Booked ticket for pongal?,Ham
"Nothing much, chillin at home. Any super bowl plan?",Ham
Oh that was a forwarded message. I thought you send that to me,Ham
Oh really?? Did you make it on air? What's your talent?,Ham
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",Ham
Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs,Ham
Ok then i will come to ur home after half an hour,Ham
"I think your mentor is , but not 100 percent sure.",Ham
I'm going out to buy mum's present ar.,Ham
"Sorry, I'll call later",Ham
K.k:)advance happy pongal.,Ham
Wife.how she knew the time of murder exactly,Ham
 &lt;#&gt;  in mca. But not conform.,Ham
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,Ham
WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,Spam
"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",Ham
I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,Ham
V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-),Ham
"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",Ham
Please CALL 08712402779 immediately as there is an urgent message waiting for you,Spam
Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,Ham
87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077,Spam
sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,Spam
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,Spam
Yes:)here tv is always available in work place..,Ham
Apart from the one i told you about yesterday?,Ham
Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,Ham
"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16",Spam
"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home",Ham
Anytime...,Ham
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",Spam
"Playin space poker, u?",Ham
Will be out of class in a few hours. Sorry,Ham
Dai what this da.. Can i send my resume to this id.,Ham
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,Spam
I called but no one pick up e phone. I ask both of them already they said ok.,Ham
S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),Ham
K I'll be there before 4.,Ham
Pandy joined 4w technologies today.he got job..,Ham
Ok no prob. Take ur time.,Ham
What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,Ham
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",Ham
"Congratulations - Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate",Spam
"Lol, oh you got a friend for the dog ?",Ham
Enjoy ur life. . Good night,Ham
Love it! I want to flood that pretty pussy with cum...,Ham
"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",Ham
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",Spam
No shoot me. I'm in the docs waiting room. :/,Ham
So that takes away some money worries,Ham
Pls she needs to dat slowly or she will vomit more.,Ham
Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time ,Ham
Ü v ma fan...,Ham
"Sorry, I'll call later",Ham
"Hm good morning, headache anyone? :-)",Ham
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,Spam
Nope i'll come online now..,Ham
Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),Ham
Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,Ham
"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know.",Ham
Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,Ham
"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",Spam
Mm yes dear look how i am hugging you both. :-P,Ham
"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",Ham
I will take care of financial problem.i will help:),Ham
Hmmm.but you should give it on one day..,Ham
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",Spam
"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",Ham
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Spam
Ok... Help me ask if she's working tmr a not?,Ham
He is there. You call and meet him,Ham
"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",Spam
Now am free call me pa.,Ham
Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,Ham
Ok i juz receive..,Ham
soon you will have the real thing princess! Do i make you wet? :),Ham
"K I'm leaving soon, be there a little after 9",Ham
Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?,Ham
"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",Spam
Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,Ham
Ok no prob... I'll come after lunch then...,Ham
Wat time do u wan 2 meet me later?,Ham
Both :) i shoot big loads so get ready!,Ham
I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you,Ham
"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...",Ham
Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,Ham
"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",Ham
Hows the champ just leaving glasgow!,Ham
Its not the same here. Still looking for a job. How much do Ta's earn there.,Ham
I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,Ham
Yes just finished watching days of our lives. I love it.,Ham
Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,Ham
Ü called dad oredi...,Ham
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",Ham
"I sent you the prices and do you mean the  &lt;#&gt; g,",Ham
Have you heard from this week?,Ham
He says hi and to get your ass back to south tampa (preferably at a kegger),Ham
The hair cream has not been shipped.,Ham
I thk ü gotta go home by urself. Cos i'll b going out shopping 4 my frens present. ,Ham
I am taking half day leave bec i am not well,Ham
"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",Spam
I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,Ham
"Nope. Since ayo travelled, he has forgotten his guy",Ham
U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM,Ham
Y de asking like this.,Ham
"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",Ham
Is toshiba portege m100 gd?,Ham
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",Spam
"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",Ham
Dunno lei... I thk mum lazy to go out... I neva ask her yet...,Ham
"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?",Ham
"I guess you could be as good an excuse as any, lol.",Ham
"Sir, I am waiting for your mail.",Ham
I know that my friend already told that.,Ham
I am 6 ft. We will be a good combination!,Ham
Ok ill tell the company,Ham
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,Spam
S:)but he had some luck.2 catches put down:),Ham
I am in hospital da. . I will return home in evening,Ham
"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",Ham
I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,Ham
i thought we were doing a king of the hill thing there.,Ham
Yup i've finished c ü there...,Ham
i can call in  &lt;#&gt;  min if thats ok,Ham
HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com,Ham
How much r ü willing to pay?,Ham
Its good to hear from you,Ham
I'm serious. You are in the money base,Ham
You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,Spam
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",Ham
Are you ok. What happen to behave like this,Ham
You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,Ham
I'm awake oh. What's up.,Ham
Happy New Year Princess!,Ham
"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2",Spam
Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,Ham
Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?,Ham
Yes :)it completely in out of form:)clark also utter waste.,Ham
Cramps stopped. Going back to sleep,Ham
Ultimately tor motive tui achieve korli.,Ham
Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!,Ham
"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?",Ham
"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",Spam
i cant talk to you now.i will call when i can.dont keep calling.,Ham
"I'll see if I can swing by in a bit, got some things to take care of here firsg",Ham
HMM yeah if your not too grooved out! And im looking forward to my pound special :),Ham
WOT U UP 2 J?,Ham
Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,Ham
Its hard to believe things like this. All can say lie but think twice before saying anything to me.,Ham
All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,Ham
Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,Spam
"I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do.",Ham
He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.,Ham
"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114",Spam
Thats cool. I want to please you...,Ham
Ok... C ya...,Ham
Here got lots of hair dresser fr china.,Ham
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,Spam
What time do u get out?,Ham
"I dont knw pa, i just drink milk..",Ham
Oh yeah clearly it's my fault,Ham
I was about to do it when i texted. I finished a long time ago and showered and er'ything!,Ham
I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,Ham
"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",Ham
"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)",Ham
In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),Ham
Babe !!!! I LOVE YOU !!!! *covers your face in kisses*,Ham
At WHAT TIME should i come tomorrow,Ham
Haha okay... Today weekend leh... ,Ham
Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,Ham
"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",Ham
Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?,Ham
Crucify is c not s. You should have told me earlier.,Ham
What is your record for one night? :),Ham
"As in missionary hook up, doggy hook up, standing...|",Ham
I dled 3d its very imp,Ham
wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.,Spam
Yo theres no class tmrw right?,Ham
Some are lasting as much as 2 hours. You might get lucky.,Ham
Ball is moving a lot.will spin in last :)so very difficult to bat:),Ham
K... Must book a not huh? so going for yoga basic on sunday?,Ham
"They can try! They can get lost, in fact. Tee hee",Ham
Check audrey's status right now,Ham
Lol great now im getting hungry.,Ham
"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",Ham
"Awesome, I remember the last time we got somebody high for the first time with diesel :V",Ham
Good. Good job. I like entrepreneurs,Ham
R u in this continent?,Ham
When can ü come out?,Ham
Gd luck 4 ur exams :-),Ham
How are you. Just checking up on you,Ham
I am not at all happy with what you saying or doing,Ham
Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,Spam
Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,Ham
Ma head dey swell oh. Thanks for making my day,Ham
Mm umma ask vava also to come tell him can play later together,Ham
That's cause your old. I live to be high.,Ham
Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.,Ham
"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",Ham
"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",Ham
I dunno lei... Like dun haf...,Ham
"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",Ham
"Just arrived, see you in a couple days &lt;3",Ham
Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.,Ham
"When you get free, call me",Ham
Thats cool. i am a gentleman and will treat you with dignity and respect.,Ham
Guess who spent all last night phasing in and out of the fourth dimension,Ham
watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,Ham
Wanna do some art?! :D,Ham
THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,Ham
Ok...,Ham
Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,Ham
You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,Ham
Your bill at 3 is £33.65 so thats not bad!,Ham
Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,Ham
Why you Dint come with us.,Ham
Lol wtf random. Btw is that your lunch break,Ham
"I am real, baby! I want to bring out your inner tigress...",Ham
"Sorry, I'll call later",Ham
Hey check it da. I have listed da.,Ham
Y bishan lei... I tot ü say lavender? ,Ham
Nite...,Ham
Ho ho - big belly laugh! See ya tomo,Ham
U dun say so early hor... U c already then say...,Ham
"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. ",Ham
"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",Spam
"Sorry, I'll call later",Ham
Wish i were with you now!,Ham
"U so lousy, run already come back then half dead... Hee...",Ham
Hmm .. Bits and pieces lol ... *sighs* ...,Ham
I think i've fixed it can you send a test message?,Ham
URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only,Spam
Just sleeping..and surfing,Ham
