TWEET,EXISTENCE
Climate Change Fraud - The Scandal of Solar Power in Spain [link],No
"Climate Change Fraud - Global Warming, Ethanol, DDT and ... [link]",No
"Despite Climategate, LEFT investing heavily in global warming hysteria as new way 2 impose nat'l & international controls on human freedom.",No
RT @ClimateDepot: ''Obama does a 3-minute Earth Day video; fails to mention the global warming hoax'' [link],No
#ALMS Let me politely suggest that I DO NOT WATCH MOTORSPORTS TO BE LECTURED ON IMAGINARY GLOBAL WARMING! #nascar,No
"Gagnon, like most liberals you have been duped by the global warming, socialist propaganda. [link]",No
I believe that Global Warming is an international conspiracy perpetrated by GE in order to sell more air conditioners,No
UN process in danger unless world agrees on climate change - Telegraph [link],Yes
Reid To Graham On Climate Change: 'It's Up To You' [link],Yes
RT @sponsorpitch: Shell's Climate Change #Sponsorship Causes Blogosphere Meltdown [link],Yes
What do you know about climate change? Test your knowledge with the following 10 questions @change [link],Yes
"Global warming dirt-carbon peril models are wrong, say boffins|Greenhouse experiments show reduced greenhouse .. [link]",No
"Senior Technical Advisor: Communities and Climate Change, Environment and Development, New York @UNjobs #jobs [link]",Yes
Alexia Parks: Global Warming of the Heart|Earth Day is over. Or is it? Thousands of conscious actions took place .. [link],Yes
Alexia Parks: Global Warming of the Heart: Earth Day is over. Or is it? Thousands -- perhaps millions -- of consc... [link],Yes
Don Blankenship Calls Efforts On Mine Safety Regulation 'As Silly As Global Warming': At his Labor Day anti-union... [link],No
Climate change and our identity [link],Yes
@SooperMexican Global warming. Clearly.,Yes
@andychrism Here's a link to the volcano &lt;--&gt; global warming story [link],Yes
"What I Leaned This Week: Global warming, famine, nuclear annihilation - no threat to humanity is more dangerous than the Double Down.",Yes
@owillis Birthers. Global warming deniers. Young-earth Creationists. And Neil Armstrong complains about Obama��_s NASA budget.,Yes
Long-term fortune favours the brave on climate change [link],Yes
Environmental Groups Praise BASIC Meeting on Climate Change: Environmental groups are giving qualified praise to a... [link],Yes
Q: Should we focus our energy on climate change before immigration? (via @ztf) #GOODasks,Yes
"WASHINGTON - The term Green Movement was not yet in vogue, and there was little talk of combating global warming. [link]",Yes
"**PLS SMILE, OK?** Climate change and human health studied: BETHESDA, Md., April 22 (UPI) -- The US National Insti... [link]",Yes
"Don't be swayed by distraction of climate change, treat Earth responsibly. #EarthDay",No
"effects of global warming ��_ We Are God's Caretakers by Cory L. Kemp: An Inconvenient Truth, the documentary and bo... [link]",Yes
"Who Cares About Global Warming?: by Jackie Gingrich Cushman In 1971, I joined my parents and older sister in the s... [link]",No
"Don Blankenship Called Safety Regulators ""as Silly as Global Warming"" [link]",No
Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link],No
april showers on us......right now!  feels like winter? Global Warming?,Yes
"Global warming conference set Sunday|Robert Bullard, known as the \Father of Environmental Justice,\ is a .. [link]",Yes
Are you ready for the climate change? PLI is with Environmental Regulation & Commercial Implications 2010: How the... http://bit.ly/cYxGvk,Yes
LIVE TONIGHT: Fellow Heather Rogers joins Climate Change Expert James Hansen to discuss REAL solutions to Climate... http://bit.ly/aT8CgK,Yes
Plan B: California Braces for Climate Change. http://bit.ly/b7w8Rf,Yes
"Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. http://oohja.com/xc0yn",Yes
"@angiemartinez & it's about 2 be 86 degrees out here in NYC, shiiiiiitttt, fuck glodman/sachs, Obama better get a plan 4 this global warming",Yes
"Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. http://oohja.com/xc0tB",Yes
Climate change & sustainability will be a key driver of future economic development. Listen at http://bit.ly/9Uytgl,Yes
Frederic Hague at #PEN: climate change isn't just a alarm bell. It's a whole blinking discotech,Yes
US Generals say: Climate Change Threatens America's Security: The Pentagon has made it well known that it consider... http://bit.ly/aZ754n,Yes
"Even the generals know climate change is going to screw us. http://tinyurl.com/2urnnvo Clean energy bill, anyone? #climate",Yes
"Government Report Says Global Warming May Cause Cancer, Mental Illness http://bit.ly/9Vg5Co",Yes
"RT @disturbedwater: Climate change increases heat waves, floods: EPA http://bit.ly/afoCcp",Yes
RT @sciencedaily: Plants remain an effective way of tackling global warming http://bit.ly/d0O3xa,Yes
"So far in that class I have gotten into ""heated discussion"" with global climate change denier and w/ student that nothing is ""their fault.""",Yes
RT @Newsweek: Global Warming Kills Forests In Colorado http://bit.ly/coOWIt,Yes
EPA Confirms Climate IS Changing: In another display of the sea change that has occurred at the US Environmental P... http://bit.ly/bb2l7d,Yes
"Must See Places Before They Disappear! : Europe...[PICS]: If Global Warming Predictions prove to be true, the foll... http://bit.ly/adUgl4",Yes
RT @quixotecenter: Combating climate change: lessons from the world��_s indigenous peoples http://tinyurl.com/25eatpb,Yes
@chrisdodd: I live in CT. Please support the climate bill and strong action on climate change!,Yes
"RT @danlatorre: James Hansen/Heather Rogers, Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 http://bit.ly/djxvhd",Yes
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists http://bit.ly/cEX69x",Yes
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists http://bit.ly/cEX69x",Yes
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists http://goo.gl/fb/ZnfEn #cleantech",Yes
"Climate change melts two glaciers|BILLINGS, Mont. ? Glacier National Park has lost two more of its namesake .. http://oohja.com/xaAdm",Yes
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists http://url4.eu/31XMX",Yes
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists http://url4.eu/31XMi",Yes
CLIMATE CHANGE: Forests Not for Absorbing Carbon http://bit.ly/bRHMYi,Yes
"Climate Change Threatens Japan's Cherry Blossoms | Environment ...: If you aren't familiar with the culture, Japan... http://bit.ly/9MPGhy",Yes
Wed @sciam podcast: Mountain Vs. Valley Temps Stretch Apart With Climate Change http://bit.ly/aVW0AT,Yes
Mountain Vs. Valley Temps Stretch Apart With Climate Change http://bit.ly/9bDfVR,Yes
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists http://bit.ly/bRHMYi IPSAmazon",Yes
Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. http://oohja.com/xbPDv,Yes
Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. http://oohja.com/xbPyL,Yes
RT @Newsweek: Global Warming Kills Forests In Colorado http://bit.ly/coOWIt,Yes
"Microbes Contribute Less to Global Warming|New Haven, Conn. .. http://oohja.com/xbO0z",Yes
"Microbes Contribute Less to Global Warming|New Haven, Conn. .. http://oohja.com/xbNVU",Yes
South Asian nations to fight climate change: Foreign ministers of eight South Asian nations met in this secluded H... http://bit.ly/cE3hoX,Yes
"Climate change increases heat waves, floods|WASHINGTON (Reuters) - Deaths from heat waves, property damage from .. http://oohja.com/xbNDn",Yes
James Hansen & Heather Rogers - Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 @Demos_Org http://bit.ly/djxvhd,Yes
I LOVE FROG's LEAP!!!! Seriously. RT @grist: What climate change means for the wine industry (via @theclimatedesk) http://bit.ly/9I4FGp,Yes
Report: Save the Whales and They'll Save Us from Global Warming http://tinyurl.com/3y6j4cj,Yes
RT @indiaenvportal: The contribution of organic agriculture to climate change mitigation http://www.environmentportal.in/node/304091,Yes
Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show]:  Toward the end of Wor... http://bit.ly/a22gQ2,Yes
"#EPA report documents ""very real"" impacts from #climate change in 22 of 24 indicators studied: http://ht.ly/1DN9o #energy /via @matt_weiser",Yes
#Canadian #CEOs more keen on #green than global counterparts; preparing for impacts of climate change...http://bit.ly/bgxOba,Yes
RT @carbonmarket: Ask the G8 & G20 to support #biochar. Fight climate change & food shortage! Check this HuffPo post: http://huff.to/d0Ejgu,Yes
RT @christellar: Whale DooDoo could help fight #climate change? Sure! Why not!? http://bit.ly/9jWcCB [via @Earth_News],Yes
Global warming science good news - Soils release less carbon than though as world warms: http://bit.ly/bM3We6,Yes
"So it*s April 27th, Phoenix has 90 degrees weather & it might snow in New York today.. Hmmmm.. Global warming MUCH !",Yes
"Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. http://oohja.com/xbKLB",Yes
West Mediterranean countries unite on climate change (AFP) http://nxy.in/jiyiz,Yes
Cleaner Air Could Speed Global Warming|Hugh Pickens writes \Scientists estimate that the US Clean Air Act has cut .. http://oohja.com/xbK49,Yes
"3,000 Businesses Create New Ad for Climate Change Action http://bit.ly/9KFTB6",Yes
"Person #1:""Snow, then 65 degrees on the same day? Weather doesn't even surprise me anymore."" Person #2:""That's why global warming will win.""",Yes
Just heard an interesting report on report on understanding climate change/climate variability influence on human evolution and dispersal,Yes
RT @jerryjamesstone: Alaska Before the Effects of Global Warming [pics]: http://digg.com/d31PUXt?t,Yes
New blog post: Mandating energy benchmarking: The next step for cities in addressing #climate change? http://bit.ly/8Zztmt,Yes
RealDocWatson on global warming: Go to Antarctica and stake a claim now! It will be like Florida in a few years!,Yes
How much trouble does global warming mean for agriculture? Just ask the wine industry. http://theclimatedesk.org/articles/grapes-wrath,Yes
Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show] http://bit.ly/aJHKwp,Yes
"Climate Change: From Paris to the Alps, European Places in Peril (photos) http://bit.ly/cjYBQp",Yes
How Climate Change Will Change The Electoral Map: The National Oceanic and Atmospheric Administration isn't known ... http://bit.ly/buHIW1,Yes
"M Report: Cleaner Air Could Actually Intensify Global Warming: As much of the world marked Earth Day this past week, the Environmental...",Yes
RT @Newsweek: Global Warming Kills Forests In Colorado http://bit.ly/coOWIt,Yes
"Global warming is a threat, after all|Tim Blair rounds up the latest news from the wild frontiers of global .. http://oohja.com/xbD6G",Yes
Kuna Indians Prepare For Relocation As Traditional Homes Sink Due To Climate Change http://bit.ly/cEs5qN by @indigenousissue,Yes
"How Global Warming Is Killing California's Wine Buzz: Dr. Kimberley Cahill presented on ""Climate Change in Califor... http://bit.ly/aocBUG",Yes
RT @uncajoe: uncajoe: PLZ RT & #Digg Climate Of Hate: The Politics Of Climate Change Denial: As H... http://bit.ly/cgBtsy ( #p2 #du1 #pgn ),Yes
"GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. http://oohja.com/xbBeK",Yes
"GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. http://oohja.com/xbBaT",Yes
Good going douche. I'm sure there is no climate change in your backass world - Graham move imperils Obama agenda - http://goo.gl/qiDM,No
Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. http://oohja.com/xbycu,Yes
Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. http://oohja.com/xby9R,Yes
"Bats, Birds and Lizards Can Fight Climate Change By Eating Insects: Birds, bats and lizards may play an important... http://huff.to/9a6b7C",Yes
RT @indiaenvportal: Make IT green: cloud computing and its contribution to climate change  http://www.environmentportal.in/node/302549,Yes
RT @HeidiAmes: Climate change favors invasive species over indigenous ones. 30% of plants Thoreau saw are now extinct. http://j.mp/bbjysn,Yes
scary RT @ClimateProject Climate change altering U.S. seasons: Spring 10 days early: http://ow.ly/1BphQ #climate,Yes
RT @Newsweek: Global Warming Kills Forests In Colorado http://bit.ly/coOWIt,Yes
MediaGlobal report on special Tipping Point Earth Day event: Science and art mobilize to fight climate change http://shar.es/m7N1X,Yes
"a review of yesterday's discussions: http://bit.ly/a7YnV2 Science and art mobilize to fight climate change, by Rebekah Mintzer",Yes
Global Warming Kills Forests In Colorado http://bit.ly/coOWIt,Yes
Combating climate change: lessons from the world's indigenous peoples: When I arrived at the United Nations climat... http://bit.ly/aYcViw,Yes
GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... http://kin6q.tk GECKO,Yes
"China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. http://oohja.com/xbr8g",Yes
"China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. http://oohja.com/xbr3M",Yes
Now on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings http://ow.ly/1BvA8,Yes
Official NASA Report: Sun Causes Climate Change:  http://bit.ly/csJwrh (FTSN Social),Yes
RT @TreeHugger RT @huffpostgreen well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' http://bit.ly/aJTn26,No
RT @sciam: Impacts of Climate Change Extend to Human Health http://bit.ly/aZbBoW,Yes
Impacts of Climate Change Extend to Human Health http://bit.ly/aZbBoW,Yes
GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... http://qd6yo.tk GECKO,Yes
"Natural variability does not explain global warming, climate scientists tell popular TV meteorologist http://bit.ly/9UUCej #climate #agw",Yes
Rebecca Solnit: 350 Degrees of Inseparability: The Good News About the Very Bad News (About Climate Change) http://bit.ly/9dOTC6,Yes
"Watch video: Climate change threatens sacred Tibetan mountain, including land known as Shangri-La http://bit.ly/aN1srk #earthday",Yes
African Meteorology Services Gear Up for Climate Change. (america.gov) #IRI http://bit.ly/aakK70,Yes
Economists Say Climate Change Is Bad For Economy http://ow.ly/1BQTj #earthday,Yes
Economists Say Climate Change Is Bad For Economy http://ow.ly/1BQG2 #earthday,Yes
Report: Allergy Season to Get Worse with Climate Change (Time.com) http://nxy.in/k9oox,Yes
Don��_t Kill Bill ��_ Save the Climate Change Accountability Act! http://trim.li/nk/1GB8 via @WiretapMagazine,Yes
RT @Oxfam #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable http://bit.ly/alhpwN #earthday,Yes
"Denis Hayes, founder of Earth Day, compares global climate change to Irish Famine (IrishCentral) News Weather Politics http://bit.ly/9XCuA1",Yes
"ITS #EARTHDAY!!! Be aware of what you consume, waste, & how you treat this place. we only have 1 & as we can see global warming is in effect",Yes
Earth Day: Ben Verwaayen on what we're doing to curb climate change http://bit.ly/a3hgA3 #Green #EarthDay (via @Alcatel_Lucent),Yes
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report http://bit.ly/btYoHc,Yes
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report http://bit.ly/btYoHc,Yes
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report http://url4.eu/2r22O,Yes
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report http://url4.eu/2r22Y,Yes
10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... http://bit.ly/a3CGvV,Yes
Climate change could raise cost of U.S. allergies (Reuters) http://nxy.in/412x6,Yes
Treating Climate Change as a Curable Disease: Bioethicists and international law experts met in Asilomar later las... http://bit.ly/bIA0k6,Yes
well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' http://bit.ly/aJTn26,Yes
Military leads fight against climate change http://z3igz.tk EnvNewsNet,Yes
"Military leads fight against climate change: The U.S. military, the government's largest fuel buyer, is leading th... http://bit.ly/cGv0Fi",Yes
Swedish expert says CO2 is not the main cause of global warming|Swedish climate expert Dr. Fred Goldberg has said .. http://oohja.com/xbo5q,Yes
Fighting poverty and global warming in Africa http://goo.gl/fb/Shq49 #energy,Yes
RT @greenforyou: Treating Climate Change as a Curable Disease | Wired Science | Wired.com #green http://bit.ly/bPm7kx #ESG #sustainability,Yes
http://bit.ly/azDu0 It's time to tackle climate change through wind energy http://bit.ly/cCB87D,Yes
Thursday on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings http://ow.ly/1BvA8,Yes
"UN ��_ Only Global Cooperation Can Prevent Runaway Climate Change, Secretary ��_: The United Nations seeks dialogue, i... http://bit.ly/9sLEvH",Yes
Carbon offsets: How a Vatican forest failed to reduce global warming http://bit.ly/aKb76i,Yes
"rt @democracy_now ""Most Important Event in Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey http://bit.ly/beV0W0",Yes
Military leads fight against climate change: Pew http://ff.im/-jeG3f,No
Report identifies 11 diseases & health issues affctd by climate change. Once u inclde mental health evrything's @ stake http://bit.ly/apYoIc,Yes
For Earth Day: Resources on coping with climate change: http://tinyurl.com/2cck5xd,Yes
Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle http://bit.ly/bJsszY,Yes
Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle http://bit.ly/bJsszY,Yes
"Fedele Bauccio: Combating Climate Change One Meal at a Time: This week, Americans will celebrate the 40th anniver... http://huff.to/9W7JPn",Yes
"RT @egeemnz @mrdannyglover i support world people's conf on climate change in cochabamba,bolivia.watch live http://cmpcc.org",Yes
Barrett: better to have lots of small protocols on climate change than pushing for one comprehensive one,Yes
Topography of mountains could complicate rates of global warming http://bit.ly/cA5Bom,Yes
"Many global issues require universal co-operation to address e.g. smallpox, ozone layer, climate change",Yes
"RT @hereisawayjose Bolivia President on Global Warming http://su.pr/2YY1Lc ""Main cause of Earth destruction is capitalism"" #Green #EarthDay",Yes
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change http://goo.gl/fb/zOgmE #cleantech,Yes
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change http://url4.eu/2pBxm,Yes
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change http://url4.eu/2pBxr,Yes
Carbon offsets: How a Vatican forest failed to reduce global warming http://url4.eu/2pAAi,Yes
Carbon offsets: How a Vatican forest failed to reduce global warming http://url4.eu/2pAAt,Yes
Ethiopia: Climate Change Increasing Poverty And Vulnerability http://bit.ly/9Vlo8s #africa #solar,Yes
Ethiopia: Climate Change Increasing Poverty And Vulnerability: Small-scale farmers and pastoralists i... http://tinyurl.com/yystbl4 #Africa,Yes
"RT @democracy_now: ""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on ��_ http://bit.ly/beV0W0",Yes
"""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on ��_ http://bit.ly/beV0W0",Yes
RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle http://bit.ly/bKlU4H,Yes
"UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. http://oohja.com/xbiVi",Yes
"UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. http://oohja.com/xbiRQ",Yes
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. http://oohja.com/xbhWq,Yes
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. http://oohja.com/xbhVZ,Yes
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. http://oohja.com/xbhRx,Yes
Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. http://oohja.com/xbhkY,Yes
Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. http://oohja.com/xbhgq,Yes
Climate Change: Geologists Drill Into Antarctica & Find Troubling Signs 4 Ice Sheets' Future ��_  Melt Could Come FAST http://twurl.nl/ioewyh,Yes
Africa: Time Bomb Awaiting Africa: THERE is no doubt that climate change as an environmental issue ha... http://tinyurl.com/y3z9q2k #Africa,Yes
Buying carbon offsets may ease eco-guilt but not global warming: http://j.mp/necir http://www.csmonitor.com/carbonoffsets http://j.mp/aonX07,Yes
"RT @Qorianka: All Eyes on #Cochabamba Those alrdy suffering from global warming 'll havechancetospeakout"" http://is.gd/bwrfQ #cmpcc",Yes
"RT @EcoSteward: This #EcoMonday, @InvasiveNotes discussion of climate change and invasive species recommended: http://bit.ly/a0re9B",Yes
Migratory Birds' New Climate Change Strategy: Stay Home http://shar.es/mvU8M KB: More proof global warming is 4 the birds. Not. #eco #green,No
On ocean floor populations of organisms despite little oxygen. global warming cause oxygen depletion&reduce biodiversityhttp://bit.ly/b7NUDJ,Yes
Join us for a discussion on Earth Day 4/22: Climate Change & Food Security - Irreversible Destiny? http://bit.ly/8XvRNS (also live webcast!),Yes
Pat Mooney on the Dangers of Geoengineering and Manipulating the Planet to Combat Climate Change http://bit.ly/b93A5l,Yes
Seasonal Allergies Getting Worse From Climate Change http://bit.ly/cy7Jc8,Yes
@Zener39 I advise everyone who thinks global warming is dead to buy oceanfront property and live there.  See ya!,Yes
"Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions http://bit.ly/aUBHb3",Yes
"Mary Ellen Harte and John Harte: Addressing Climate Change: Winning the War on Sustainability: At its heart, clim... http://huff.to/cI7Rik",Yes
RT @Drudge_Report: STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... http://drudge.tw/cYgyix,Yes
"Increasingly, corporations are concluding climate change is real. Betting on Climate Change | Wired.com http://j.mp/aaUM2W",Yes
"Right on! Richard Branson's #EarthDay message 2 biz ""Get ur house in order.Fight global warming!#green #eco http://bit.ly/aqJi4L -Plez RT",Yes
[#Meat-Wise]  Cynthia Bateman on Meat-Wise Monday: How Animal Agriculture Makes Global Warming Worse http://bit.ly/9c04zs,Yes
"Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions http://bit.ly/aUBHb3",Yes
STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... http://bit.ly/adhL7L #breaking,Yes
"Global warming, melting ice caps could trigger more volcanic eruptions: http://bit.ly/b4JVwb",Yes
@LilFerret hey! We came up with all kinds of ideas for fixing global warming! Loved my Environmentalism class. *sighs*,Yes
Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... http://tinyurl.com/y7q29uk #Africa,Yes
"2nd eruption of Hekla in Iceland. Let's call 2010, the year the Earth struck back. ""This is for global warming and THIS is for oil spills!""",Yes
RT @Newsweek: Climate Change: Places To See Before They Disappear��_The Americas (Photos) http://bit.ly/b8aJbG,Yes
"RT @EpiscopalRelief: Bishop Lane, #Episcopal Dio of #Maine: Climate change most important issue of our time - #Bangor Daily Nws http://bit.ly/cwy6b3 via @addthis",Yes
RT @TreeHugger: In case you were wondering: What Impact Will The Volcano In Iceland Have On Climate Change? http://bit.ly/dlvKNq,Yes
"Cool it, global warming is bad enough without you heating things up.|In the interest of honest discussion, can we .. http://oohja.com/xb9Ck",Yes
RT @InvasiveNotes: RT @RareWildlifeGuy: Climate change: Migration patterns have changed for 20 billion birds:   http://bit.ly/byeIQM,Yes
RT @Newsweek: Climate Change: Places To See Before They Disappear��_The Americas (Photos) http://bit.ly/b8aJbG,Yes
Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. http://oohja.com/xb8ws,Yes
Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. http://oohja.com/xb8s2,Yes
Just briefed on global cooling & volcanoes via @abc But I wonder ... if it gets to the stratosphere can it slow/improve global warming??,Yes
Climate Change-ing your Allergies http://bit.ly/d3bTo0 (NRDC),Yes
"Obama says China can't 'wait' on climate change: Sydney (AFP) April 15, 2010 - US President Barack Obama on Thursd... http://bit.ly/cbVER7",Yes
RT @beckbasher: RT @IanDavidB: RT @Shoq: CLIMATE CHANGE DENIERS: Bobby Jindal mocked volcano warnings. Read the papers lately? Start thinking for yourselves,Yes
RT @TEDNews: Cara Mertes at #tedxvolcano: We're all stranded this weekend. And we're getting a sneak preview of climate change. We have to adapt.,Yes
"Larry Brilliant at #TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socmedia @enviro",Yes
"Larry Brilliant at TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socent #green",Yes
"Damn man that ash cloud in Europe is crazy, they say due to global warming with the volcano activating,getting crazy",Yes
RT @TEDNews: Larry Brilliant at #tedxvolcano: Climate change is exacerbating all other crises of our age. But climate science is now under attack.,Yes
RT @Newsweek: Climate Change: Places To See Before They Disappear��_The Americas (Photos) http://bit.ly/b8aJbG,Yes
"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. http://oohja.com/xb62Q",Yes
Global Warming Causes Volcano Eruptions -- By: Jonah Goldberg: From Reuters: OSLO (Reuters) - A thaw of Iceland's... http://bit.ly/dqvsYV,Yes
"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. http://oohja.com/xb60z",Yes
RT @Climates_Change: Bring Indigenous Voices into the Conversation About Climate Change http://bit.ly/bbP0gG,Yes
"Climate Change & Volcanic Activity: ""Ice Cap Thaw May Awaken Icelandic Volcanoes http://twurl.nl/f0aqb3",Yes
��_No Rain in the Amazon: How South America��_s Climate Change Affects Entire Planet��_ -Interview of Nikolas Kozloff (vid) http://twurl.nl/asgkwk,Yes
Climate Change: Places To See Before They Disappear��_The Americas (Photos) http://bit.ly/b8aJbG,Yes
"RT @bruces *Hmmm, they rather buried the lede here: Iceland glaciers melt from global warming, then volcanoes go off: http://bit.ly/anoudi",Yes
"Not sure if this is consensus, but: scientist warns climate change will lead to more volcano crises due to melting ice. http://bit.ly/9ELCjd",Yes
Wishing I was in Cochabamba at the People's World Conference on Climate Change and the Rights of Mother Earth @boliviaun,Yes
I feel that already RT @organicnewyork Climate change making seasonal allergies worse. Near-record highs this Spring http://bit.ly/d5DMi6,Yes
RT @organicnewyork: Climate change making seasonal allergies worse.  Near-record highs this Spring.  http://bit.ly/d5DMi6,Yes
Like Icelandic volcanic eruptions disrupting your air travel? Climate change = glacier thaw = more of it. http://bit.ly/aJOZGb (via @mims),Yes
Cochabamba Summit Offers New Approach to Combating Climate Change http://bit.ly/btb7jh,No
"Climate Change is Making You Sneeze: http://bit.ly/c3YVMW The Eco-Sexy Solution? Nettle Root tincture, baby!",Yes
ENVIRONMENT: Climate of change: From something as simple as reminding computer users to power down when not workin... http://bit.ly/duQAk9,Yes
"Professor?s Perspective: Reasons to be Concerned about Climate Change|Spring in Connecticut brings renewal, .. http://oohja.com/xaZEP",Yes
The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. http://oohja.com/xaZzN,Yes
"Climate Change culprit for ""Off-the-Charts"" Pollen Counts... http://bit.ly/biteQA",Yes
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://bit.ly/97DPXg,Yes
Allergy Season To Worsen With Climate Change: Report: A new report released on Wednesday by the National Wildlife... http://huff.to/9ipDju,Yes
"Author Nikolas Kozloff on ""No Rain in the Amazon: How South America's Climate Change Affects the Entire Planet"" http://bit.ly/cKs5dW",Yes
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://url4.eu/2heiW,Yes
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level http://goo.gl/fb/hKvfY #cleantech,Yes
How do we solve this global warming thing? http://url4.eu/2hdT2,Yes
How do we solve this global warming thing? http://url4.eu/2hdSo,Yes
Report: Allergy Season to Get Worse with Climate Change (Time.com) http://nxy.in/h4e3z,Yes
Cute. I mention global warming and a denialist sends me a link to a Finnish newspaper article purportedly refuting it.,Yes
Is nationalizing the energy industry necessary to fight global warming?  http://bit.ly/9AEI0k,Yes
Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. http://oohja.com/xaW3l,Yes
Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. http://oohja.com/xaVgV,Yes
Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. http://oohja.com/xaVcb,Yes
reading from @time Allergies Worse Than Ever? Blame Global Warming http://bit.ly/9QVt5w,Yes
The $6BN REDD+ forest conservation partnership to curb climate change leaves on env'l groups & indigenous populations. http://bit.ly/9bbuoO,Yes
"2/3rds of Tbaggers don't think climate change is a serious problem. As I said, they're ignorant.",Yes
